run_accession,study_accession,pubmed_id,paper_year
ERR1856693,ERP021735,28745585,2017 
ERR1856694,ERP021735,28745585,2017 
ERR2812346,ERP111066,33177713,2020
ERR2812347,ERP111066,33177713,2020
ERR2812348,ERP111066,33177713,2020
ERR2812352,ERP111066,33177713,2020
ERR2812353,ERP111066,33177713,2020
ERR2812354,ERP111066,33177713,2020
ERR2812358,ERP111066,33177713,2020
ERR2812359,ERP111066,33177713,2020
ERR2812360,ERP111066,33177713,2020
ERR2976734,ERP112487,31300557 ,2019 
ERR2976735,ERP112487,31300557 ,2019 
ERR2976736,ERP112487,31300557 ,2019 
ERR2976737,ERP112487,31300557 ,2019 
ERR2976738,ERP112487,31300557 ,2019 
ERR2976739,ERP112487,31300557 ,2019 
ERR3403465,ERP116020,NA,NA
ERR3403466,ERP116020,NA,NA
ERR3403469,ERP116020,NA,NA
ERR3403470,ERP116020,NA,NA
ERR3403473,ERP116020,NA,NA
ERR3403474,ERP116020,NA,NA
ERR3403477,ERP116020,NA,NA
ERR3403478,ERP116020,NA,NA
ERR3403481,ERP116020,NA,NA
ERR3403482,ERP116020,NA,NA
ERR3403485,ERP116020,NA,NA
ERR3403486,ERP116020,NA,NA
ERR3403489,ERP116020,NA,NA
ERR3403490,ERP116020,NA,NA
ERR3403493,ERP116020,NA,NA
ERR3403494,ERP116020,NA,NA
ERR3403497,ERP116020,NA,NA
ERR3403498,ERP116020,NA,NA
SRR057522,SRP002605,20703300,2010
SRR10072555,SRP220473,34429433 ,2021
SRR10072556,SRP220473,34429433 ,2021
SRR10072557,SRP220473,34429433 ,2021
SRR10072558,SRP220473,34429433 ,2021
SRR10072559,SRP220473,34429433 ,2021
SRR10072560,SRP220473,34429433 ,2021
SRR10072561,SRP220473,34429433 ,2021
SRR10072562,SRP220473,34429433 ,2021
SRR10072563,SRP220473,34429433 ,2021
SRR10072564,SRP220473,34429433 ,2021
SRR10072565,SRP220473,34429433 ,2021
SRR10072566,SRP220473,34429433 ,2021
SRR10072567,SRP220473,34429433 ,2021
SRR10072569,SRP220473,34429433 ,2021
SRR10072570,SRP220473,34429433 ,2021
SRR10072571,SRP220473,34429433 ,2021
SRR10103857,SRP093833,NA,NA
SRR10103858,SRP093833,NA,NA
SRR10103859,SRP093833,NA,NA
SRR10103860,SRP093833,NA,NA
SRR10441364,SRP229759,32821933 ,2020
SRR10441365,SRP229759,32821933 ,2020
SRR10441366,SRP229759,32821933 ,2020
